Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance
37.728,2525,192,1,44,13,No,No,Yes,South,0
27.578,2531,195,1,34,15,Yes,No,Yes,South,0
41.192,3673,297,3,54,16,Yes,No,Yes,South,121
149.316,10278,707,1,80,16,No,No,No,East,1107
76.348,4697,344,4,60,18,No,No,No,West,108
14.595,2955,260,5,37,9,No,No,Yes,East,204
50.699,3977,304,2,84,17,Yes,No,No,East,69
24.088,3665,287,4,56,13,Yes,No,Yes,South,309
26.813,5611,411,4,55,16,Yes,No,No,South,915
14.711,2047,167,2,67,6,No,No,Yes,South,0
121.834,10673,750,3,54,16,No,No,No,East,1573
19.782,3782,293,2,46,16,Yes,Yes,No,South,840
83.869,7667,554,2,83,11,No,No,No,East,930
31.029,2863,223,2,66,17,No,Yes,Yes,West,415
25.078,3096,236,2,27,15,Yes,No,Yes,South,81
66.989,5614,430,3,47,14,Yes,No,Yes,South,482
39.116,2150,173,4,75,15,No,No,No,South,0
80.18,8047,569,4,77,10,No,No,No,South,1151
110.968,6662,468,3,45,11,Yes,No,Yes,South,391
27.512,4613,344,5,72,17,No,No,Yes,West,573
62.602,7056,481,1,84,11,Yes,No,No,South,904
20.918,1233,128,3,47,18,Yes,Yes,Yes,West,16
24.824,5495,409,1,33,9,No,Yes,No,South,1352
34.909,5289,410,2,62,16,Yes,No,Yes,South,681
36.496,4378,339,3,69,15,Yes,No,Yes,West,368
30.733,2832,249,4,51,13,No,No,No,South,0
61.069,7871,564,3,56,14,No,No,Yes,South,1264
73.914,7333,529,6,67,15,Yes,No,Yes,South,1048
53.217,4943,362,2,46,16,Yes,No,Yes,West,382
10.842,4391,358,5,37,10,Yes,Yes,Yes,South,1216
53.48,4263,317,1,83,15,No,No,No,South,99
55.882,4897,357,2,68,16,No,No,Yes,South,331
25.383,4527,367,4,46,11,No,No,Yes,South,570
163.329,8732,636,3,50,14,No,No,Yes,South,529
20.996,3388,259,2,37,12,Yes,No,No,East,203
27.369,3449,288,3,40,9,Yes,No,Yes,South,162
10.354,3480,281,2,70,17,No,No,Yes,South,333
68.713,7582,531,2,56,16,No,Yes,No,South,1587
57.872,4171,321,5,67,12,Yes,No,Yes,South,138
107.841,10384,728,3,87,7,No,No,No,East,1597
25.988,1349,142,4,82,12,No,No,No,South,0
57.337,5310,392,2,45,7,Yes,No,No,South,456
36.934,4270,299,1,63,9,Yes,No,Yes,South,283
30.682,1671,160,2,77,7,Yes,No,No,South,0
26.4,5640,398,3,58,15,Yes,No,No,West,905
152.298,12066,828,4,41,12,Yes,No,Yes,West,1779
83.948,7100,503,2,44,18,No,No,No,South,806
75.406,3874,298,3,41,14,Yes,No,Yes,West,0
115.52,9272,656,2,69,14,No,No,No,East,1140
128.04,6982,518,2,78,11,Yes,No,Yes,South,250
12,4160,320,4,28,14,Yes,No,Yes,South,602
15.079,5673,411,4,28,15,Yes,No,Yes,West,1075
69.943,7555,547,3,76,9,No,No,Yes,West,1058
49.57,6384,448,1,28,9,Yes,No,Yes,West,891
65.896,5140,370,1,49,17,Yes,No,Yes,South,293
18.036,1552,142,2,48,15,Yes,No,No,South,0
30.413,3690,299,2,25,15,Yes,Yes,No,West,728
91.362,9113,626,1,47,17,No,No,Yes,West,1341
41.4,2561,215,2,36,14,No,No,Yes,South,0
53.566,5891,434,4,82,10,Yes,No,No,South,712
39.11,3189,263,3,72,12,No,No,No,West,0
11.187,5099,380,4,69,16,Yes,No,No,East,889
69.656,8244,579,3,41,14,No,No,Yes,East,1329
19.588,3211,265,4,59,14,Yes,No,No,West,199
12.068,3873,292,1,44,18,Yes,No,Yes,West,413
33.437,6207,451,4,44,9,No,Yes,No,South,1549
16.819,1337,115,2,74,15,No,No,Yes,West,0
33.694,4891,369,1,52,16,No,Yes,No,East,1036
15.866,3085,217,1,39,13,No,No,No,South,136
27.825,5227,386,6,63,11,No,No,Yes,South,823
10.627,1647,149,2,71,10,Yes,Yes,Yes,West,195
14.084,855,120,5,46,17,Yes,No,Yes,East,0
30.002,1561,155,4,70,13,Yes,No,Yes,South,0
16.529,1357,126,3,62,9,No,No,No,West,0
15.045,1311,138,3,64,16,No,No,No,South,0
160.231,10748,754,2,69,17,No,No,No,South,1192
113.659,7659,538,2,66,15,No,Yes,Yes,East,1155
10.635,3584,294,5,69,16,No,No,Yes,West,423
23.283,5443,407,4,49,13,No,No,Yes,East,912
121.709,7818,584,4,50,6,No,No,Yes,South,701
16.479,5435,388,2,26,16,No,No,No,East,937
64.027,5179,398,5,48,8,No,No,Yes,East,411
24.919,5051,372,3,76,11,Yes,No,Yes,East,711
43.682,6922,511,1,49,9,No,No,Yes,South,1081
20.191,5767,431,4,42,16,No,No,Yes,East,1023
21.238,3089,254,3,59,10,Yes,No,No,South,108
101.788,8029,574,2,84,11,No,No,Yes,South,849
39.422,5245,383,2,44,19,No,No,No,East,637
73.327,6555,472,2,43,15,Yes,No,No,South,721
57.202,3411,259,3,72,11,Yes,No,No,South,0
53.319,3000,235,3,53,13,No,No,No,West,0
180.682,11966,832,2,58,8,Yes,No,Yes,East,1405
49.927,6396,485,3,75,17,Yes,No,Yes,South,890
41.365,5303,377,1,45,14,No,No,No,South,606
31.353,1705,160,3,81,14,No,No,Yes,South,0
21.786,4632,355,1,50,17,No,No,Yes,South,580
41.532,5000,353,2,50,12,No,No,Yes,South,531
10.852,3907,296,2,30,9,No,No,No,South,485
67.937,5184,383,4,63,12,No,No,Yes,West,345
14.887,4745,339,3,58,12,No,No,Yes,East,724
23.672,4433,344,3,63,11,No,No,No,South,503
23.793,3615,263,2,70,14,No,No,No,East,216
58.026,7499,560,5,67,11,Yes,No,No,South,1237
32.793,4534,333,2,44,16,No,No,No,East,467
59.53,7518,543,3,52,9,Yes,No,No,East,1176
23.375,5429,396,3,57,15,Yes,No,Yes,South,844
23.989,4523,338,4,31,15,No,No,No,South,601
11.603,2278,187,3,71,11,No,No,Yes,South,0
20.791,2672,204,1,70,18,Yes,No,No,East,0
10.363,2430,191,2,47,18,Yes,No,Yes,West,0
23.012,1410,137,3,81,16,No,No,No,South,0
28.144,1567,142,3,51,10,No,No,Yes,South,0
36.295,2963,241,2,68,14,Yes,Yes,No,East,375
22.561,1787,147,4,66,15,Yes,No,No,South,0
17.055,5110,371,3,55,15,Yes,No,Yes,South,805
48.498,6040,456,3,47,16,No,No,Yes,South,812
27.229,3484,282,6,51,11,No,No,No,South,265
15.717,905,93,1,38,16,No,Yes,Yes,South,0
36.472,3806,309,2,52,13,No,No,No,East,188
12.096,4100,307,3,32,13,No,No,Yes,South,560
13.647,3461,264,4,47,14,No,No,Yes,South,344
29.403,2327,178,1,37,14,Yes,No,Yes,South,0
14.292,3274,282,9,64,9,No,No,Yes,South,382
98.515,8760,633,5,78,11,Yes,No,No,East,1230
61.62,5140,374,1,71,9,No,No,Yes,South,302
51.872,5294,390,4,81,17,Yes,No,No,South,531
27.241,1402,128,2,67,15,Yes,No,Yes,West,0
80.616,5308,394,1,57,7,Yes,No,Yes,West,204
75.257,7010,494,3,34,18,Yes,No,Yes,South,885
18.701,5524,415,5,64,7,Yes,No,No,West,966
21.011,3402,261,2,68,17,No,No,Yes,East,182
140.672,11200,817,7,46,9,No,No,Yes,East,1677
35.61,6135,466,4,40,12,No,No,No,South,992
60.449,3098,272,4,69,8,No,No,Yes,South,0
30.111,4336,339,1,81,18,No,No,Yes,South,347
27.272,1389,149,5,67,10,Yes,No,Yes,South,0
15.56,4307,352,4,57,8,No,No,Yes,East,579
10.726,1568,162,5,46,19,No,No,Yes,West,0
29.564,2529,192,1,30,12,Yes,No,Yes,South,0
87.625,7167,515,2,46,10,Yes,No,No,East,767
19.144,3291,269,2,75,13,Yes,No,No,East,148
63.809,7530,515,1,56,12,No,No,Yes,South,1086
11.808,1300,117,3,77,14,Yes,No,No,East,0
21.374,2073,175,2,74,11,Yes,No,Yes,South,0
28.575,2959,231,2,60,11,Yes,No,No,East,0
39.705,3969,301,2,27,20,No,No,Yes,East,211
46.007,6637,491,4,42,14,No,No,Yes,South,1046
71.061,6819,491,3,41,19,Yes,Yes,Yes,East,1350
30.42,4442,316,1,30,14,Yes,No,No,East,450
53.598,3714,286,3,73,17,Yes,No,Yes,East,0
128.669,9824,685,3,67,16,No,No,Yes,West,1243
14.891,3606,283,2,34,11,No,No,Yes,South,333
12.031,3182,259,2,58,18,Yes,No,Yes,South,210
58.351,4411,326,2,85,16,Yes,No,Yes,South,126
29.567,5309,397,3,25,15,No,No,No,South,799
27.794,3807,301,4,35,8,Yes,No,Yes,East,320
24.889,3954,318,4,75,12,No,No,Yes,South,357
11.795,3899,300,4,25,10,Yes,No,No,South,531
63.931,5728,435,3,28,14,Yes,No,Yes,East,581
51.345,4327,320,3,46,15,No,No,No,East,230
13.676,2330,203,5,80,16,Yes,No,No,East,0
36.364,2220,188,3,50,19,No,No,No,South,0
19.349,4941,366,1,33,19,No,No,Yes,South,717
19.529,4673,341,2,51,14,No,No,No,West,642
28.474,3202,267,5,66,12,No,No,Yes,South,132
44.158,4763,351,2,66,13,Yes,No,Yes,West,385
12.238,4865,381,5,67,11,Yes,No,No,South,836
33.214,5137,387,3,59,9,No,No,No,East,661
124.29,9560,701,3,52,17,Yes,Yes,No,West,1687
26.532,2910,236,6,58,19,Yes,No,Yes,South,52
48.218,5199,401,7,39,10,No,No,Yes,West,633
25.974,2308,196,2,24,10,No,No,No,West,0
20.405,4543,329,2,72,17,No,Yes,No,West,1054
18.967,1626,156,2,41,11,Yes,No,Yes,West,0
28.508,3933,287,4,56,14,No,No,Yes,West,336
23.857,1501,150,3,56,16,No,No,Yes,South,0
82.706,7506,536,2,64,13,Yes,No,Yes,West,905
21.153,3736,256,1,41,11,No,No,No,South,298
20.15,2646,199,2,25,14,Yes,No,Yes,West,0
34.537,3271,250,3,57,17,Yes,No,Yes,West,47
30.132,2168,206,3,52,17,No,No,No,South,0
34.509,2001,189,5,80,18,Yes,No,Yes,East,0
44.473,3500,257,3,81,16,Yes,No,No,East,8
29.4,4840,368,3,76,18,Yes,No,Yes,South,588
55.056,3155,235,2,31,16,No,No,Yes,East,0
42.079,6626,479,2,44,9,No,No,No,West,1048
103.893,7416,549,3,84,17,No,No,No,West,669
42.357,5550,406,2,83,12,Yes,No,Yes,West,653
16.751,4706,353,6,48,14,No,Yes,No,West,1255
31.861,6375,469,3,25,16,Yes,No,Yes,South,1120
44.978,4866,347,1,30,10,Yes,No,No,South,436
42.529,4986,369,2,37,11,No,No,Yes,West,489
22.574,1551,134,3,43,13,Yes,Yes,Yes,South,98
107.986,6033,449,4,64,14,No,No,Yes,South,227
30.012,1511,137,2,33,17,No,No,Yes,South,0
27.33,6179,459,4,36,12,Yes,No,Yes,South,1099
15.354,2101,171,2,65,14,No,No,No,West,0
53.308,2860,214,1,84,10,No,No,Yes,South,0
43.54,2906,232,4,69,11,No,No,No,South,0
15.125,3300,266,5,66,13,Yes,No,No,South,279
113.772,6442,489,4,69,15,No,Yes,Yes,South,790
83.851,8494,607,5,47,18,No,No,No,South,1311
13.433,1134,112,3,70,14,No,No,Yes,South,0
94.193,7576,527,2,44,16,Yes,No,Yes,South,846
16.279,1160,126,3,78,13,No,Yes,Yes,East,5
186.634,13414,949,2,41,14,Yes,No,Yes,East,1809
28.941,2733,210,5,43,16,No,No,Yes,West,0
32.916,1786,154,2,60,8,Yes,No,Yes,West,0
69.165,4668,341,2,34,11,Yes,No,No,East,156
134.181,7838,563,2,48,13,Yes,No,No,South,526
30.55,5869,439,5,81,9,Yes,No,No,East,967
44.522,2252,205,6,72,15,No,No,Yes,West,0
12.581,3976,291,2,48,16,No,No,Yes,South,474
15.629,2493,186,1,60,14,No,No,Yes,West,0
13.234,3922,299,2,77,17,Yes,No,Yes,South,426
31.367,1829,162,4,30,10,No,No,Yes,South,0
29.638,5833,433,3,29,15,Yes,No,Yes,West,942
23.35,2558,220,3,49,12,Yes,Yes,No,South,419
44.061,4970,352,1,79,11,No,No,Yes,East,414
14.132,2998,251,4,75,17,No,No,No,South,133
56.256,5521,406,2,72,16,Yes,Yes,Yes,South,1020
123.299,8376,610,2,89,17,No,Yes,No,East,1259
19.531,5043,376,2,64,16,Yes,Yes,Yes,West,1241
15.741,4788,360,1,39,14,No,No,Yes,West,689
113.829,9704,694,4,38,13,Yes,No,Yes,West,1388
25.936,1774,135,2,71,14,Yes,No,No,West,0
48.577,5145,389,3,71,13,Yes,No,Yes,West,503
180.379,9310,665,3,67,8,Yes,Yes,Yes,West,1050
115.123,7760,538,3,83,14,Yes,No,No,East,661
135.118,10578,747,3,81,15,Yes,No,Yes,West,1393
182.728,13913,982,4,98,17,No,No,Yes,South,1999
77.38,7569,564,3,50,12,Yes,No,Yes,South,997
23.45,2450,180,2,78,13,No,No,No,South,0
27.47,2820,219,1,32,11,Yes,No,Yes,West,0
62.328,5228,377,3,83,15,No,No,No,South,380
44.646,4431,320,2,49,15,No,Yes,Yes,South,797
69.251,6386,474,4,30,12,Yes,No,Yes,West,768
22.379,3965,292,2,34,14,Yes,No,Yes,West,384
38.954,5222,370,4,76,13,Yes,No,No,South,653
24.46,1924,165,2,50,14,Yes,No,Yes,West,0
34.95,3327,253,3,54,14,Yes,No,No,East,50
37.348,6378,458,1,72,17,Yes,No,No,South,968
17.976,2433,190,3,70,16,Yes,Yes,No,South,431
76.782,5977,429,4,44,12,No,No,Yes,West,548
49.502,6819,505,4,55,14,No,No,Yes,South,1084
16.304,5466,413,4,66,10,No,No,Yes,West,957
10.403,4159,310,3,43,7,No,No,Yes,West,571
20.088,1870,180,3,76,16,No,No,No,East,0
36.355,3613,278,4,35,9,No,No,Yes,West,187
10.742,1757,156,3,57,15,Yes,No,No,South,0
17.765,5072,364,1,66,12,Yes,No,Yes,South,732
23.365,2179,167,2,75,15,No,No,No,West,0
158.889,11589,805,1,62,17,Yes,No,Yes,South,1448
10.793,3878,321,8,29,13,No,No,No,South,638
34.664,5835,452,3,77,15,Yes,No,Yes,East,835
18.951,1485,129,3,82,13,Yes,No,No,South,0
35.177,2117,186,3,62,16,Yes,No,No,South,0
39.145,4351,323,2,66,13,No,No,Yes,South,308
26.162,5101,382,3,62,19,Yes,No,No,East,710
10.735,3746,280,2,44,17,Yes,No,Yes,South,410
12.414,855,119,3,32,12,No,No,Yes,East,0
25.124,4776,378,4,29,12,No,No,Yes,South,657
12.456,5395,392,3,65,14,No,No,Yes,South,955
57.1,4742,372,7,79,18,Yes,No,Yes,West,379
14.479,3907,296,3,43,16,No,No,Yes,South,463
42.915,2532,205,4,42,13,No,No,Yes,West,0
51.532,5096,380,2,31,15,No,No,Yes,South,481
46.102,5180,382,3,81,12,No,No,Yes,East,516
26.067,3388,266,4,74,17,Yes,No,Yes,East,155
16.482,3326,268,4,41,15,No,No,No,South,271
27.039,2161,173,3,40,17,Yes,No,No,South,0
31.335,3526,289,3,38,7,Yes,No,No,South,172
34.772,2021,167,3,57,9,No,No,No,West,0
21.551,5380,420,5,51,18,No,No,Yes,West,907
15.333,1499,138,2,47,9,Yes,No,Yes,West,0
24.05,2607,221,4,32,18,No,No,Yes,South,0
30.406,2120,181,2,79,14,No,No,Yes,East,0
27.349,2000,169,4,51,16,Yes,No,Yes,East,0
58.929,6420,459,2,66,9,Yes,No,Yes,East,789
49.166,6662,508,3,68,14,Yes,No,No,West,984
146.183,9540,682,6,66,15,No,No,No,South,1050
44.847,5765,437,3,53,13,Yes,Yes,No,West,1246
23.793,3821,281,4,56,12,Yes,Yes,Yes,East,868
26.37,3235,268,5,78,11,No,No,Yes,West,159
35.51,5198,364,2,35,20,Yes,No,No,West,631
38.009,3075,245,3,45,15,Yes,No,No,East,0
130.209,10088,730,7,39,19,Yes,No,Yes,South,1426
39.831,6045,459,3,32,12,Yes,Yes,Yes,East,1425
15.184,2420,192,2,69,11,Yes,No,Yes,South,0
21.038,1448,145,2,58,13,Yes,No,Yes,South,0
41.419,2120,184,4,24,11,Yes,Yes,No,South,156
125.48,10230,721,3,82,16,No,No,Yes,South,1361
63.095,8117,589,4,30,14,No,No,Yes,South,1407
39.055,5565,410,4,48,18,Yes,No,Yes,South,772
14.312,5382,367,1,59,17,No,Yes,No,West,1380
24.543,3206,243,2,62,12,Yes,No,Yes,South,95
29.705,3351,262,5,71,14,Yes,No,Yes,West,148
76.273,4779,367,4,65,14,Yes,No,Yes,South,133
45.12,3762,287,3,80,8,No,No,Yes,South,70
62.413,6457,455,2,71,11,Yes,No,Yes,South,762
