house_id,house_age,distance_MRT,number_convenience_stores,latitude,longitude
210,5.2,390.5684,5,24.97937,121.54245
190,35.3,616.5735,8,24.97945,121.53642
328,15.9,1497.713,3,24.97003,121.51696
5,7.1,2175.03,3,24.96305,121.51254
412,8.1,104.8101,5,24.96674,121.54067
209,34.8,175.6294,8,24.97347,121.54271
11,6.3,90.45606,9,24.97433,121.5431
199,18.2,451.6419,8,24.96945,121.5449
64,17.5,995.7554,0,24.96305,121.54915
184,14.1,2615.465,0,24.95495,121.56174
61,5.3,259.6607,6,24.97585,121.54516
263,3.9,2147.376,3,24.96299,121.51284
369,20.2,2185.128,3,24.96322,121.51237
368,18.2,350.8515,1,24.97544,121.53119
305,16.2,289.3248,5,24.98203,121.54348
6,34.5,623.4731,7,24.97933,121.53642
78,38.2,552.4371,2,24.97598,121.53381
196,22.8,707.9067,2,24.981,121.54713
58,30.3,4510.359,1,24.94925,121.49542
308,16.4,289.3248,5,24.98203,121.54348
94,40.9,167.5989,5,24.9663,121.54026
373,0.0,274.0144,1,24.9748,121.53059
57,3.5,56.47425,7,24.95744,121.53711
388,10.4,2251.938,4,24.95957,121.51353
73,13.8,4082.015,0,24.94155,121.50381
247,21.7,1055.067,0,24.96211,121.54928
370,15.9,289.3248,5,24.98203,121.54348
91,9.1,1402.016,0,24.98569,121.5276
72,32.5,424.5442,8,24.97587,121.53913
395,21.2,512.5487,4,24.974,121.53842
311,21.3,537.7971,4,24.97425,121.53814
96,6.4,90.45606,9,24.97433,121.5431
297,34.9,567.0349,4,24.97003,121.5458
95,8.0,104.8101,5,24.96674,121.54067
107,12.2,1360.139,1,24.95204,121.54842
379,0.0,292.9978,6,24.97744,121.54458
220,37.2,186.5101,9,24.97703,121.54265
390,32.8,377.8302,9,24.97151,121.5435
259,17.7,837.7233,0,24.96334,121.54767
239,18.1,837.7233,0,24.96334,121.54767
216,37.8,590.9292,1,24.97153,121.53559
406,1.9,372.1386,7,24.97293,121.54026
378,37.3,587.8877,8,24.97077,121.54634
407,5.2,2408.993,0,24.95505,121.55964
164,0.0,185.4296,0,24.9711,121.5317
366,14.2,1801.544,1,24.95153,121.55254
227,32.4,265.0609,8,24.98059,121.53986
55,31.7,1160.632,0,24.94968,121.53009
180,26.9,4449.27,0,24.94898,121.49621
361,41.4,281.205,8,24.97345,121.54093
306,14.4,169.9803,1,24.97369,121.52979
42,36.1,519.4617,5,24.96305,121.53758
84,15.1,383.2805,7,24.96735,121.54464
310,16.4,1643.499,2,24.95394,121.55174
105,0.0,292.9978,6,24.97744,121.54458
363,32.3,109.9455,10,24.98182,121.54086
355,3.8,383.8624,5,24.98085,121.54391
371,4.1,312.8963,5,24.95591,121.53956
303,38.3,439.7105,0,24.97161,121.53423
167,28.2,330.0854,8,24.97408,121.54011
35,13.9,4079.418,0,25.01459,121.51816
258,0.0,292.9978,6,24.97744,121.54458
179,14.0,438.8513,1,24.97493,121.5273
408,18.5,2175.744,3,24.9633,121.51243
312,35.4,318.5292,9,24.97071,121.54069
36,14.7,1935.009,2,24.96386,121.51458
178,13.1,1144.436,4,24.99176,121.53456
143,13.6,492.2313,5,24.96515,121.53737
273,13.2,170.1289,1,24.97371,121.52984
326,4.1,56.47425,7,24.95744,121.53711
318,7.1,379.5575,10,24.98343,121.53762
365,17.3,2261.432,4,24.96182,121.51222
411,18.8,390.9696,7,24.97923,121.53986
168,27.6,515.1122,5,24.96299,121.5432
244,4.8,1559.827,3,24.97213,121.51627
40,13.6,4082.015,0,24.94155,121.50381
132,26.6,482.7581,5,24.97433,121.53863
154,16.9,4066.587,0,24.94297,121.50342
268,17.2,390.5684,5,24.97937,121.54245
33,16.5,323.655,6,24.97841,121.54281
281,4.7,387.7721,9,24.98118,121.53788
79,18.0,1414.837,1,24.95182,121.54887
206,22.2,379.5575,10,24.98343,121.53762
254,1.1,329.9747,5,24.98254,121.54395
384,16.1,4066.587,0,24.94297,121.50342
126,38.6,804.6897,4,24.97838,121.53477
319,34.6,272.6783,5,24.95562,121.53872
39,16.2,289.3248,5,24.98203,121.54348
335,27.3,337.6016,6,24.96431,121.54063
282,2.0,1455.798,1,24.9512,121.549
219,29.3,529.7771,8,24.98102,121.53655
271,17.7,451.6419,8,24.96945,121.5449
347,17.4,6488.021,1,24.95719,121.47353
302,16.5,2288.011,3,24.95885,121.51359
340,33.6,270.8895,0,24.97281,121.53265
264,32.6,493.657,7,24.96968,121.54522
222,30.6,431.1114,10,24.98123,121.53743
169,8.4,1962.628,1,24.95468,121.55481
16,0.0,292.9978,6,24.97744,121.54458
333,7.8,104.8101,5,24.96674,121.54067
195,15.2,461.1016,5,24.95425,121.5399
317,15.6,752.7669,2,24.97795,121.53451
10,34.8,405.2134,1,24.97349,121.53372
337,31.3,600.8604,5,24.96871,121.54651
380,14.1,289.3248,5,24.98203,121.54348
316,13.3,250.631,7,24.96606,121.54297
231,16.2,4074.736,0,24.94235,121.50357
382,16.3,3529.564,0,24.93207,121.51597
253,30.4,1735.595,2,24.96464,121.51623
118,25.3,1583.722,3,24.96622,121.51709
56,33.6,371.2495,8,24.97254,121.54059
345,0.0,185.4296,0,24.9711,121.5317
409,13.7,4082.015,0,24.94155,121.50381
116,30.9,6396.283,1,24.94375,121.47883
147,3.2,489.8821,8,24.97017,121.54494
7,20.3,287.6025,6,24.98042,121.54228
260,17.0,1485.097,4,24.97073,121.517
377,3.9,49.66105,8,24.95836,121.53756
198,34.0,157.6052,7,24.96628,121.54196
205,12.8,1449.722,3,24.97289,121.51728
358,1.1,193.5845,6,24.96571,121.54089
151,4.9,387.7721,9,24.98118,121.53788
232,27.1,4412.765,1,24.95032,121.49587
246,16.4,389.8219,6,24.96412,121.54273
17,17.7,350.8515,1,24.97544,121.53119
92,20.6,2469.645,4,24.96108,121.51046
70,6.6,90.45606,9,24.97433,121.5431
387,16.2,2103.555,3,24.96042,121.51462
146,0.0,185.4296,0,24.9711,121.5317
404,16.4,289.3248,5,24.98203,121.54348
117,13.6,4197.349,0,24.93885,121.50383
177,33.0,181.0766,9,24.97697,121.54262
284,15.0,383.2805,7,24.96735,121.54464
228,11.9,3171.329,0,25.00115,121.51776
2,13.3,561.9845,5,24.98746,121.54391
225,1.1,193.5845,6,24.96571,121.54089
80,11.8,533.4762,4,24.97445,121.54765
23,10.1,279.1726,7,24.97528,121.54541
218,13.6,492.2313,5,24.96515,121.53737
85,0.0,338.9679,9,24.96853,121.54413
144,11.9,1360.139,1,24.95204,121.54842
46,21.7,463.9623,9,24.9703,121.54458
223,9.1,1402.016,0,24.98569,121.5276
21,10.5,279.1726,7,24.97528,121.54541
391,6.2,1939.749,1,24.95155,121.55387
125,1.1,193.5845,6,24.96571,121.54089
156,30.7,1264.73,0,24.94883,121.52954
186,20.9,2185.128,3,24.96322,121.51237
12,13.0,492.2313,5,24.96515,121.53737
351,4.0,2180.245,3,24.96324,121.51241
141,5.1,1559.827,3,24.97213,121.51627
389,40.9,122.3619,8,24.96756,121.5423
104,32.7,392.4459,6,24.96398,121.5425
410,5.6,90.45606,9,24.97433,121.5431
235,12.9,250.631,7,24.96606,121.54297
241,13.7,250.631,7,24.96606,121.54297
405,23.0,130.9945,6,24.95663,121.53765
413,6.5,90.45606,9,24.97433,121.5431
153,6.5,376.1709,6,24.95418,121.53713
229,31.0,1156.412,0,24.9489,121.53095
339,1.7,329.9747,5,24.98254,121.54395
322,12.9,187.4823,1,24.97388,121.52981
123,0.0,185.4296,0,24.9711,121.5317
401,7.6,2175.03,3,24.96305,121.51254
89,23.0,3947.945,0,24.94783,121.50243
304,20.0,1626.083,3,24.96622,121.51668
60,11.0,1931.207,2,24.96365,121.51471
250,39.2,424.7132,7,24.97429,121.53917
191,13.2,750.0704,2,24.97371,121.54951
256,14.6,339.2289,1,24.97519,121.53151
135,18.9,1009.235,0,24.96357,121.54951
230,4.0,2147.376,3,24.96299,121.51284
111,33.3,196.6172,7,24.97701,121.54224
41,16.8,4066.587,0,24.94297,121.50342
208,11.5,1360.139,1,24.95204,121.54842
396,37.1,918.6357,1,24.97198,121.55063
172,6.6,90.45606,9,24.97433,121.5431
386,0.0,185.4296,0,24.9711,121.5317
86,1.8,1455.798,1,24.9512,121.549
269,17.6,837.7233,0,24.96334,121.54767
140,16.2,289.3248,5,24.98203,121.54348
376,14.7,1717.193,2,24.96447,121.51649
249,18.0,6306.153,1,24.95743,121.47516
26,3.1,383.8624,5,24.98085,121.54391
375,21.7,1157.988,0,24.96165,121.55011
372,33.9,157.6052,7,24.96628,121.54196
139,12.9,492.2313,5,24.96515,121.53737
136,11.4,390.5684,5,24.97937,121.54245
342,5.7,90.45606,9,24.97433,121.5431
109,4.0,2147.376,3,24.96299,121.51284
338,31.5,258.186,9,24.96867,121.54331
181,11.6,201.8939,8,24.98489,121.54121
211,0.0,274.0144,1,24.9748,121.53059
175,30.2,472.1745,3,24.97005,121.53758
278,0.0,208.3905,6,24.95618,121.53844
262,15.9,289.3248,5,24.98203,121.54348
88,8.9,1406.43,0,24.98573,121.52758
187,8.9,3078.176,0,24.95464,121.56627
295,18.2,2179.59,3,24.96299,121.51252
279,2.6,1554.25,3,24.97026,121.51642
71,35.5,640.7391,3,24.97563,121.53715
157,16.1,815.9314,4,24.97886,121.53464
202,38.3,642.6985,3,24.97559,121.53713
119,16.6,289.3248,5,24.98203,121.54348
221,9.0,1402.016,0,24.98569,121.5276
385,18.3,82.88643,10,24.983,121.54026
224,34.5,324.9419,6,24.97814,121.5417
291,3.4,56.47425,7,24.95744,121.53711
392,42.7,443.802,6,24.97927,121.53874
47,35.9,640.7391,3,24.97563,121.53715
162,16.0,4066.587,0,24.94297,121.50342
137,13.6,319.0708,6,24.96495,121.54277
114,30.6,143.8383,8,24.98155,121.54142
200,17.4,995.7554,0,24.96305,121.54915
120,13.3,492.2313,5,24.96515,121.53737
3,13.3,561.9845,5,24.98746,121.54391
321,16.9,964.7496,4,24.98872,121.53411
158,11.6,390.5684,5,24.97937,121.54245
115,20.6,737.9161,2,24.98092,121.54739
212,17.6,1805.665,2,24.98672,121.52091
28,19.2,557.478,4,24.97419,121.53797
280,2.3,184.3302,6,24.96581,121.54086
171,3.6,383.8624,5,24.98085,121.54391
257,17.3,444.1334,1,24.97501,121.5273
43,34.4,512.7871,6,24.98748,121.54301
207,38.5,665.0636,3,24.97503,121.53692
215,19.2,383.7129,8,24.972,121.54477
62,17.2,2175.877,3,24.96303,121.51254
122,31.5,414.9476,4,24.98199,121.54464
189,16.3,4066.587,0,24.94297,121.50342
82,13.2,150.9347,7,24.96725,121.54252
213,6.2,90.45606,9,24.97433,121.5431
54,16.1,289.3248,5,24.98203,121.54348
133,18.0,373.3937,8,24.9866,121.54082
100,17.5,964.7496,4,24.98872,121.53411
127,3.8,383.8624,5,24.98085,121.54391
381,8.0,132.5469,9,24.98298,121.53981
160,3.5,49.66105,8,24.95836,121.53756
13,20.4,2469.645,4,24.96108,121.51046
394,32.6,4136.271,1,24.95544,121.4963
138,10.0,942.4664,0,24.97843,121.52406
298,16.7,4082.015,0,24.94155,121.50381
34,15.4,205.367,7,24.98419,121.54243
325,36.6,488.8193,8,24.97015,121.54494
9,17.9,1783.18,3,24.96731,121.51486
150,35.8,170.7311,7,24.96719,121.54269
48,24.2,4605.749,0,24.94684,121.49578
367,15.0,1828.319,2,24.96464,121.51531
128,41.3,124.9912,6,24.96674,121.54039
346,13.2,1712.632,2,24.96412,121.5167
112,9.9,2102.427,3,24.96044,121.51462
83,25.3,2707.392,3,24.96056,121.50831
362,17.1,967.4,4,24.98872,121.53408
352,18.4,2674.961,3,24.96143,121.50827
106,17.2,189.5181,8,24.97707,121.54308
313,8.3,104.8101,5,24.96674,121.54067
332,39.8,617.7134,2,24.97577,121.53475
38,3.1,577.9615,6,24.97201,121.54722
76,35.9,616.4004,3,24.97723,121.53767
242,2.0,2077.39,3,24.96357,121.51329
266,17.8,1783.18,3,24.96731,121.51486
98,16.4,289.3248,5,24.98203,121.54348
236,3.6,373.8389,10,24.98322,121.53765
124,9.9,279.1726,7,24.97528,121.54541
354,12.2,1360.139,1,24.95204,121.54842
286,5.9,90.45606,9,24.97433,121.5431
398,14.7,1717.193,2,24.96447,121.51649
288,16.6,323.6912,6,24.97841,121.5428
261,16.2,2288.011,3,24.95885,121.51359
348,4.6,259.6607,6,24.97585,121.54516
251,31.7,1159.454,0,24.9496,121.53018
359,5.6,2408.993,0,24.95505,121.55964
182,13.5,2147.376,3,24.96299,121.51284
329,13.6,4197.349,0,24.93885,121.50383
272,13.0,492.2313,5,24.96515,121.53737
